id,description,question,choices,answer
d0668e,Hexagonal prisms floating in a nebula of swirling iridescent gas,What medium are the prisms floating in?,"['air', 'liquid', 'nebula', 'space']",nebula
d0668e,Hexagonal prisms floating in a nebula of swirling iridescent gas,What word describes the gas in the nebula?,"['clear', 'dense', 'iridescent', 'solid']",iridescent
d0668e,Hexagonal prisms floating in a nebula of swirling iridescent gas,Are the prisms triangular?,"['no', 'yes']",no
faf4e3,A chessboard where the squares are portals to different colored dimensions,What object is depicted?,"['a board game', 'a table', 'a chessboard', 'a rug']",a chessboard
faf4e3,A chessboard where the squares are portals to different colored dimensions,What are the squares of the chessboard?,"['colored tiles', 'mirrors', 'portals', 'windows']",portals
faf4e3,A chessboard where the squares are portals to different colored dimensions,Do the portals lead to the same place?,"['no', 'yes']",no
faf4e3,A chessboard where the squares are portals to different colored dimensions,What is unusual about this chessboard?,"['it is upside down', 'it is made of gold', 'the squares are portals', 'there are no pieces']",the squares are portals
3166ec,"Clockwork mechanisms forming a bird in flight, with sapphire gears and brass wings",What animal is formed by the clockwork?,"['a bird', 'a fish', 'a fox', 'a wolf']",a bird
3166ec,"Clockwork mechanisms forming a bird in flight, with sapphire gears and brass wings",What are the wings made of?,"['copper', 'gold', 'brass', 'silver']",brass
3166ec,"Clockwork mechanisms forming a bird in flight, with sapphire gears and brass wings",What color are the gears?,"['emerald', 'ruby', 'sapphire', 'topaz']",sapphire
3166ec,"Clockwork mechanisms forming a bird in flight, with sapphire gears and brass wings",Is the bird depicted as flying?,"['no', 'yes']",yes
e576b0,A river of liquid silver flowing over jagged amethyst rocks,What liquid is depicted?,"['lava', 'mercury', 'liquid silver', 'water']",liquid silver
e576b0,A river of liquid silver flowing over jagged amethyst rocks,What color are the rocks?,"['amethyst', 'diamond', 'emerald', 'ruby']",amethyst
e576b0,A river of liquid silver flowing over jagged amethyst rocks,What material are the rocks made of?,"['amethyst', 'granite', 'marble', 'sandstone']",amethyst
e576b0,A river of liquid silver flowing over jagged amethyst rocks,Are the rocks smooth?,"['no', 'yes']",no
1256a6,Geometric shapes cast shadows that reveal hidden constellations,What do the shadows reveal?,"['hidden messages', 'hidden constellations', 'other shapes', 'patterns']",hidden constellations
1256a6,Geometric shapes cast shadows that reveal hidden constellations,What is casting the shadows?,"['animals', 'Geometric shapes', 'trees', 'vehicles']",Geometric shapes
1256a6,Geometric shapes cast shadows that reveal hidden constellations,Are the constellations visible directly?,"['no', 'yes']",no
1256a6,Geometric shapes cast shadows that reveal hidden constellations,How are the constellations revealed?,"['by light', 'by reflection', 'by refraction', 'by shadows']",by shadows
481fac,A landscape where mountains are stacks of ancient books and clouds are crumpled paper,What do the mountains represent in this landscape?,"['buildings', 'trees', 'stacks of ancient books', 'rocks']",stacks of ancient books
481fac,A landscape where mountains are stacks of ancient books and clouds are crumpled paper,What do the clouds represent?,"['birds', 'crumpled paper', 'smoke', 'snow']",crumpled paper
481fac,A landscape where mountains are stacks of ancient books and clouds are crumpled paper,Is this a realistic landscape?,"['no', 'yes']",no
481fac,A landscape where mountains are stacks of ancient books and clouds are crumpled paper,Are the mountains made of ice?,"['no', 'yes']",no
80f5f3,"Bubbles containing tiny, self-contained ecosystems, floating in a void",What do the bubbles contain?,"['air', 'empty space', 'tiny, self-contained ecosystems', 'water']","tiny, self-contained ecosystems"
80f5f3,"Bubbles containing tiny, self-contained ecosystems, floating in a void",Where are the bubbles floating?,"['in water', 'in the sky', 'in a room', 'in a void']",in a void
80f5f3,"Bubbles containing tiny, self-contained ecosystems, floating in a void",Are the ecosystems part of a larger environment?,"['no', 'yes']",no
80f5f3,"Bubbles containing tiny, self-contained ecosystems, floating in a void",What shape are the primary objects?,"['bubbles', 'cubes', 'spheres', 'voids']",bubbles
3d38e2,"A crystalline structure glowing with an internal spectrum of light, placed on a matte black pedestal.",What is the primary object depicted?,"['box', 'crystal', 'sphere', 'pyramid']",crystal
3d38e2,"A crystalline structure glowing with an internal spectrum of light, placed on a matte black pedestal.",How is the internal light of the structure described?,"['blinking', 'fading', 'pulsing', 'glowing with an internal spectrum']",glowing with an internal spectrum
3d38e2,"A crystalline structure glowing with an internal spectrum of light, placed on a matte black pedestal.",What is the texture of the pedestal?,"['glossy', 'metallic', 'matte', 'rough']",matte
3d38e2,"A crystalline structure glowing with an internal spectrum of light, placed on a matte black pedestal.",What color is the pedestal?,"['black', 'blue', 'white', 'red']",black
ee7798,"Several interlocking gears made of aged copper, suspended in a void.",What material are the gears made of?,"['aged copper', 'brass', 'iron', 'silver']",aged copper
ee7798,"Several interlocking gears made of aged copper, suspended in a void.",What is the spatial arrangement of the gears?,"['stacked', 'scattered', 'interlocking', 'lined up']",interlocking
ee7798,"Several interlocking gears made of aged copper, suspended in a void.",Where are the gears located?,"['on a table', 'in water', 'in a void', 'on the ground']",in a void
ee7798,"Several interlocking gears made of aged copper, suspended in a void.",Are the gears new or old?,"['new', 'old']",old
e5fd79,"A translucent sphere containing swirling cosmic dust and faint distant galaxies, viewed from deep space.",What shape is the primary object?,"['cube', 'cylinder', 'pyramid', 'sphere']",sphere
e5fd79,"A translucent sphere containing swirling cosmic dust and faint distant galaxies, viewed from deep space.",What does the sphere contain?,"['liquid mercury', 'swirling cosmic dust and faint distant galaxies', 'molten gold', 'clear water']",swirling cosmic dust and faint distant galaxies
e5fd79,"A translucent sphere containing swirling cosmic dust and faint distant galaxies, viewed from deep space.",How is the sphere's ability to transmit light described?,"['opaque', 'reflective', 'solid', 'translucent']",translucent
e5fd79,"A translucent sphere containing swirling cosmic dust and faint distant galaxies, viewed from deep space.",From what perspective is the image viewed?,"['close-up', 'from deep space', 'from an airplane', 'underwater']",from deep space
d059f1,"A network of glowing blue fiber optics, branching out like roots against a dark background.",What is the nature of the network depicted?,"['electrical wires', 'fiber optics', 'plant roots', 'tree branches']",fiber optics
d059f1,"A network of glowing blue fiber optics, branching out like roots against a dark background.",What color are the fiber optics?,"['green', 'red', 'blue', 'yellow']",blue
d059f1,"A network of glowing blue fiber optics, branching out like roots against a dark background.",How is the network visually compared?,"['like leaves', 'like clouds', 'like branches', 'like roots']",like roots
d059f1,"A network of glowing blue fiber optics, branching out like roots against a dark background.",What is the background color?,"['bright', 'light gray', 'white', 'dark']",dark
96304a,"An abstract composition of overlapping geometric shapes in various shades of grey and silver, creating a sense of depth.",What is the style of the composition?,"['realistic', 'abstract', 'impressionistic', 'surreal']",abstract
96304a,"An abstract composition of overlapping geometric shapes in various shades of grey and silver, creating a sense of depth.",What kind of shapes are used?,"['organic', 'geometric', 'natural', 'random']",geometric
96304a,"An abstract composition of overlapping geometric shapes in various shades of grey and silver, creating a sense of depth.",What colors are primarily used?,"['gold and black', 'grey and silver', 'red and blue', 'green and yellow']",grey and silver
96304a,"An abstract composition of overlapping geometric shapes in various shades of grey and silver, creating a sense of depth.",What visual effect is created by the shapes?,"['flatness', 'texture', 'vibration', 'depth']",depth
5cebc4,"A flowing ribbon of iridescent material, twisting and turning in zero gravity.",What is the form of the primary object?,"['a ball', 'a box', 'a ribbon', 'a sheet']",a ribbon
5cebc4,"A flowing ribbon of iridescent material, twisting and turning in zero gravity.",How is the material described?,"['dull', 'matte', 'iridescent', 'opaque']",iridescent
5cebc4,"A flowing ribbon of iridescent material, twisting and turning in zero gravity.",What action is the ribbon performing?,"['falling', 'floating', 'standing still', 'twisting and turning']",twisting and turning
5cebc4,"A flowing ribbon of iridescent material, twisting and turning in zero gravity.",In what environment is the ribbon located?,"['in water', 'on a surface', 'in zero gravity', 'in the air']",in zero gravity
3972f3,"A shimmering liquid metal surface, disturbed by gentle ripples.",What is the state of the metal depicted?,"['solid', 'gaseous', 'plasma', 'liquid']",liquid
3972f3,"A shimmering liquid metal surface, disturbed by gentle ripples.",How is the surface of the liquid metal described?,"['dull', 'matte', 'rough', 'shimmering']",shimmering
3972f3,"A shimmering liquid metal surface, disturbed by gentle ripples.",What is disturbing the surface?,"['large waves', 'strong winds', 'gentle ripples', 'falling objects']",gentle ripples
3972f3,"A shimmering liquid metal surface, disturbed by gentle ripples.",What material is depicted?,"['plastic', 'glass', 'wood', 'liquid metal']",liquid metal
05f605,"A field of vibrant, bioluminescent flora, illuminating a dark, alien landscape.",What type of plant life is depicted?,"['trees', 'bushes', 'flora', 'grass']",flora
05f605,"A field of vibrant, bioluminescent flora, illuminating a dark, alien landscape.",What characteristic do the plants possess?,"['thorny', 'edible', 'bioluminescent', 'fragrant']",bioluminescent
05f605,"A field of vibrant, bioluminescent flora, illuminating a dark, alien landscape.",How is the landscape described?,"['urban', 'familiar', 'alien', 'deserted']",alien
05f605,"A field of vibrant, bioluminescent flora, illuminating a dark, alien landscape.",What effect does the flora have on the landscape?,"['cooling it', 'heating it', 'illuminating it', 'shading it']",illuminating it
95df0c,"A complex fractal pattern rendered in shades of deep violet and electric green, filling the frame.",What type of pattern is shown?,"['striped', 'polka dot', 'fractal', 'plaid']",fractal
95df0c,"A complex fractal pattern rendered in shades of deep violet and electric green, filling the frame.",What colors are used in the rendering?,"['red and blue', 'yellow and orange', 'deep violet and electric green', 'black and white']",deep violet and electric green
95df0c,"A complex fractal pattern rendered in shades of deep violet and electric green, filling the frame.",How much of the frame does the pattern occupy?,"['a small corner', 'half', 'the edges', 'filling the frame']",filling the frame
95df0c,"A complex fractal pattern rendered in shades of deep violet and electric green, filling the frame.",Is the pattern simple or complex?,"['simple', 'complex']",complex
07dd20,"An array of polished black spheres, reflecting distorted views of their surroundings.",What shape are the objects in the array?,"['cubes', 'cylinders', 'spheres', 'pyramids']",spheres
07dd20,"An array of polished black spheres, reflecting distorted views of their surroundings.",What color are the spheres?,"['white', 'gray', 'black', 'clear']",black
07dd20,"An array of polished black spheres, reflecting distorted views of their surroundings.",What quality do the spheres possess?,"['rough', 'matte', 'polished', 'transparent']",polished
07dd20,"An array of polished black spheres, reflecting distorted views of their surroundings.",What can be seen on the surface of the spheres?,"['text', 'images', 'distorted views of their surroundings', 'nothing']",distorted views of their surroundings
103bd9,A chrome sphere reflecting a starry night sky with a visible crescent moon,What kind of object is the main subject?,"['cube', 'cylinder', 'sphere', 'torus']",sphere
103bd9,A chrome sphere reflecting a starry night sky with a visible crescent moon,What is the sphere made of?,"['ceramic', 'chrome', 'glass', 'plastic']",chrome
103bd9,A chrome sphere reflecting a starry night sky with a visible crescent moon,What is being reflected on the sphere?,"['a forest', 'a city skyline', 'a starry night sky', 'the sun']",a starry night sky
103bd9,A chrome sphere reflecting a starry night sky with a visible crescent moon,Is there a sun visible in the reflection?,"['no', 'yes']",no
114f50,Three overlapping teal triangles on a background of swirling crimson and gold gradients,How many triangles are depicted?,"['one', 'two', 'three', 'four']",three
114f50,Three overlapping teal triangles on a background of swirling crimson and gold gradients,What color are the triangles?,"['gold', 'crimson', 'teal', 'purple']",teal
114f50,Three overlapping teal triangles on a background of swirling crimson and gold gradients,Are the triangles touching or overlapping?,"['touching', 'overlapping', 'separate', 'aligned']",overlapping
114f50,Three overlapping teal triangles on a background of swirling crimson and gold gradients,What colors are present in the background gradient?,"['blue and green', 'red and orange', 'crimson and gold', 'black and white']",crimson and gold
3d70c4,An array of translucent emerald cubes stacked precariously high against a stark white backdrop,What shape are the objects being stacked?,"['spheres', 'pyramids', 'cubes', 'cylinders']",cubes
3d70c4,An array of translucent emerald cubes stacked precariously high against a stark white backdrop,What color are the cubes?,"['ruby', 'sapphire', 'emerald', 'topaz']",emerald
3d70c4,An array of translucent emerald cubes stacked precariously high against a stark white backdrop,What word describes the cubes' transparency?,"['opaque', 'solid', 'reflective', 'translucent']",translucent
3d70c4,An array of translucent emerald cubes stacked precariously high against a stark white backdrop,Is the backdrop black?,"['no', 'yes']",no
7ab2e0,"A tangled knot of thick, matte black ropes on a distressed wooden surface",What describes the state of the ropes?,"['straight', 'coiled', 'knotted', 'braided']",knotted
7ab2e0,"A tangled knot of thick, matte black ropes on a distressed wooden surface",What color are the ropes?,"['white', 'gray', 'black', 'brown']",black
7ab2e0,"A tangled knot of thick, matte black ropes on a distressed wooden surface",What kind of surface are the ropes on?,"['metal', 'plastic', 'stone', 'wooden']",wooden
7ab2e0,"A tangled knot of thick, matte black ropes on a distressed wooden surface",Is the wooden surface smooth?,"['no', 'yes']",no
6bb0a6,"A single, highly detailed obsidian feather floating in a void of deep violet",What object is depicted?,"['a leaf', 'a stone', 'a feather', 'a crystal']",a feather
6bb0a6,"A single, highly detailed obsidian feather floating in a void of deep violet",What color is the feather?,"['white', 'black', 'gray', 'purple']",black
6bb0a6,"A single, highly detailed obsidian feather floating in a void of deep violet",What material is the feather likened to?,"['gold', 'silver', 'obsidian', 'ivory']",obsidian
6bb0a6,"A single, highly detailed obsidian feather floating in a void of deep violet",What color is the background void?,"['black', 'blue', 'red', 'violet']",violet
e073a2,Concentric rings of alternating cyan and magenta lines expanding outwards from a central void,What shape are the primary elements?,"['squares', 'circles', 'rings', 'stars']",rings
e073a2,Concentric rings of alternating cyan and magenta lines expanding outwards from a central void,What describes the arrangement of the rings?,"['random', 'scattered', 'concentric', 'parallel']",concentric
e073a2,Concentric rings of alternating cyan and magenta lines expanding outwards from a central void,What colors are the lines?,"['red and blue', 'green and yellow', 'cyan and magenta', 'black and white']",cyan and magenta
e073a2,Concentric rings of alternating cyan and magenta lines expanding outwards from a central void,Is there a central object?,"['no', 'yes']",no
9f2a48,"A mosaic of tiny, shimmering gold squares forming the shape of a spiral",What form does the mosaic create?,"['a wave', 'a circle', 'a spiral', 'a grid']",a spiral
9f2a48,"A mosaic of tiny, shimmering gold squares forming the shape of a spiral",What color are the squares in the mosaic?,"['silver', 'bronze', 'gold', 'copper']",gold
9f2a48,"A mosaic of tiny, shimmering gold squares forming the shape of a spiral",Are the squares large?,"['no', 'yes']",no
9f2a48,"A mosaic of tiny, shimmering gold squares forming the shape of a spiral",Are the gold squares dull?,"['no', 'yes']",no
3598e8,"A solitary, weathered wooden signpost pointing towards an unseen horizon under a stormy sky",What object is depicted in the foreground?,"['a rock', 'a tree', 'a signpost', 'a fence']",a signpost
3598e8,"A solitary, weathered wooden signpost pointing towards an unseen horizon under a stormy sky",What material is the signpost made of?,"['metal', 'plastic', 'stone', 'wooden']",wooden
3598e8,"A solitary, weathered wooden signpost pointing towards an unseen horizon under a stormy sky",What is the signpost doing?,"['standing', 'leaning', 'pointing', 'falling']",pointing
3598e8,"A solitary, weathered wooden signpost pointing towards an unseen horizon under a stormy sky",What is the condition of the sky?,"['clear', 'sunny', 'partly cloudy', 'stormy']",stormy
8aa3cf,"An arrangement of glossy, interconnected black circles on a matte gray background",What shape are the primary elements?,"['squares', 'triangles', 'circles', 'rectangles']",circles
8aa3cf,"An arrangement of glossy, interconnected black circles on a matte gray background",Are the circles separate or interconnected?,"['separate', 'interconnected', 'overlapping', 'stacked']",interconnected
8aa3cf,"An arrangement of glossy, interconnected black circles on a matte gray background",What color are the circles?,"['white', 'gray', 'black', 'silver']",black
8aa3cf,"An arrangement of glossy, interconnected black circles on a matte gray background",What describes the finish of the circles?,"['matte', 'rough', 'glossy', 'dull']",glossy
aa35b6,A vibrant splash of neon pink liquid frozen mid-air against a deep indigo backdrop,What is the color of the liquid splash?,"['red', 'orange', 'pink', 'purple']",pink
aa35b6,A vibrant splash of neon pink liquid frozen mid-air against a deep indigo backdrop,What word describes the state of the liquid?,"['boiling', 'frozen', 'flowing', 'settled']",frozen
aa35b6,A vibrant splash of neon pink liquid frozen mid-air against a deep indigo backdrop,What describes the intensity of the pink color?,"['pale', 'dull', 'muted', 'vibrant']",vibrant
aa35b6,A vibrant splash of neon pink liquid frozen mid-air against a deep indigo backdrop,What is the color of the backdrop?,"['black', 'indigo', 'violet', 'blue']",indigo
2d1afc,a chrome sphere reflecting a kaleidoscopic pattern of primary colors,What shape is the main object?,"['cube', 'cylinder', 'sphere', 'torus']",sphere
2d1afc,a chrome sphere reflecting a kaleidoscopic pattern of primary colors,What is the sphere made of?,"['chrome', 'glass', 'plastic', 'wood']",chrome
2d1afc,a chrome sphere reflecting a kaleidoscopic pattern of primary colors,Does the sphere reflect a pattern?,"['no', 'yes']",yes
2d1afc,a chrome sphere reflecting a kaleidoscopic pattern of primary colors,What types of colors are reflected?,"['earth tones', 'grayscale', 'pastel colors', 'primary colors']",primary colors
407837,"an iridescent butterfly with fractal wing patterns, perched on a silver branch",What kind of creature is depicted?,"['bee', 'butterfly', 'dragonfly', 'moth']",butterfly
407837,"an iridescent butterfly with fractal wing patterns, perched on a silver branch",What is the butterfly perched on?,"['a flower', 'a leaf', 'a branch', 'a rock']",a branch
407837,"an iridescent butterfly with fractal wing patterns, perched on a silver branch",Does the butterfly have plain wings?,"['no', 'yes']",no
407837,"an iridescent butterfly with fractal wing patterns, perched on a silver branch",What material is the branch described as?,"['bronze', 'gold', 'iron', 'silver']",silver
f2f752,a molten gold river flowing through a valley of obsidian cliffs under a blood-red sky,What color is the river depicted as?,"['blue', 'gold', 'green', 'silver']",gold
f2f752,a molten gold river flowing through a valley of obsidian cliffs under a blood-red sky,What is the landscape feature that the river flows through?,"['desert', 'forest', 'mountains', 'valley']",valley
f2f752,a molten gold river flowing through a valley of obsidian cliffs under a blood-red sky,What color is the sky?,"['blue', 'grey', 'red', 'yellow']",red
f2f752,a molten gold river flowing through a valley of obsidian cliffs under a blood-red sky,What material are the cliffs made of?,"['granite', 'limestone', 'obsidian', 'sandstone']",obsidian
4af8a4,interlocking gears of brass and copper on a velvet background,What kind of objects are interlocking?,"['circles', 'gears', 'squares', 'triangles']",gears
4af8a4,interlocking gears of brass and copper on a velvet background,What materials are the gears made of?,"['bronze and silver', 'brass and copper', 'iron and steel', 'gold and platinum']",brass and copper
4af8a4,interlocking gears of brass and copper on a velvet background,What is the background material?,"['canvas', 'metal', 'paper', 'velvet']",velvet
4af8a4,interlocking gears of brass and copper on a velvet background,Are the gears separate or interlocking?,"['interlocking', 'separate']",interlocking
eb76cc,a swirling vortex of cosmic dust and nebulae in shades of deep purple and emerald green,What phenomenon is depicted?,"['a black hole', 'a nebula', 'a supernova', 'a galaxy']",a nebula
eb76cc,a swirling vortex of cosmic dust and nebulae in shades of deep purple and emerald green,What are the prominent colors in the vortex?,"['blue and red', 'orange and yellow', 'purple and green', 'black and white']",purple and green
eb76cc,a swirling vortex of cosmic dust and nebulae in shades of deep purple and emerald green,Is the image depicting a calm scene?,"['no', 'yes']",no
eb76cc,a swirling vortex of cosmic dust and nebulae in shades of deep purple and emerald green,What is swirling in the image?,"['water', 'sand', 'cosmic dust and nebulae', 'smoke']",cosmic dust and nebulae
1f9a77,a crystal octahedron levitating above a magnetic base emitting a subtle blue aura,What shape is the crystal?,"['cube', 'octahedron', 'pyramid', 'sphere']",octahedron
1f9a77,a crystal octahedron levitating above a magnetic base emitting a subtle blue aura,What is the crystal doing?,"['falling', 'rolling', 'levitating', 'spinning']",levitating
1f9a77,a crystal octahedron levitating above a magnetic base emitting a subtle blue aura,What color is the aura emitted by the magnetic base?,"['green', 'red', 'blue', 'yellow']",blue
1f9a77,a crystal octahedron levitating above a magnetic base emitting a subtle blue aura,Is there a magnetic base in the image?,"['no', 'yes']",yes
692f48,an antique parchment scroll with faded intricate calligraphy and a wax seal,What kind of document is depicted?,"['a book', 'a map', 'a scroll', 'a letter']",a scroll
692f48,an antique parchment scroll with faded intricate calligraphy and a wax seal,Is the calligraphy clear or faded?,"['clear', 'faded']",faded
692f48,an antique parchment scroll with faded intricate calligraphy and a wax seal,Does the scroll have a wax seal?,"['no', 'yes']",yes
692f48,an antique parchment scroll with faded intricate calligraphy and a wax seal,What material is the scroll made of?,"['paper', 'parchment', 'papyrus', 'vellum']",parchment
c4125e,"a mosaic of shattered stained glass in shades of ruby and sapphire, forming an abstract sunburst",What is the mosaic made of?,"['ceramic tiles', 'pebbles', 'shattered stained glass', 'wood pieces']",shattered stained glass
c4125e,"a mosaic of shattered stained glass in shades of ruby and sapphire, forming an abstract sunburst",What shapes are used to form the mosaic?,"['circles', 'squares', 'triangles', 'shattered pieces']",shattered pieces
c4125e,"a mosaic of shattered stained glass in shades of ruby and sapphire, forming an abstract sunburst",What colors are prominently featured in the mosaic?,"['emerald and amethyst', 'ruby and sapphire', 'topaz and peridot', 'diamond and pearl']",ruby and sapphire
c4125e,"a mosaic of shattered stained glass in shades of ruby and sapphire, forming an abstract sunburst",What abstract form does the mosaic create?,"['a wave', 'a star', 'a sunburst', 'a spiral']",a sunburst
be01bd,"a tangled knot of luminous fiber optics, glowing with a gradient from cyan to magenta",What is depicted in the image?,"['a ball of yarn', 'a tangled knot', 'a fishing net', 'a spider web']",a tangled knot
be01bd,"a tangled knot of luminous fiber optics, glowing with a gradient from cyan to magenta",What material are the fibers made of?,"['cotton', 'silk', 'fiber optics', 'wool']",fiber optics
be01bd,"a tangled knot of luminous fiber optics, glowing with a gradient from cyan to magenta",Do the fibers glow?,"['no', 'yes']",yes
be01bd,"a tangled knot of luminous fiber optics, glowing with a gradient from cyan to magenta",What is the color transition of the glowing fibers?,"['red to blue', 'green to yellow', 'black to white', 'cyan to magenta']",cyan to magenta
ee058d,a cascade of liquid mercury flowing down a metallic staircase,What substance is flowing?,"['water', 'oil', 'mercury', 'lava']",mercury
ee058d,a cascade of liquid mercury flowing down a metallic staircase,What is the mercury flowing down?,"['a slide', 'a hill', 'a waterfall', 'a staircase']",a staircase
ee058d,a cascade of liquid mercury flowing down a metallic staircase,Is the staircase made of wood?,"['no', 'yes']",no
ee058d,a cascade of liquid mercury flowing down a metallic staircase,Is the mercury in a solid state?,"['no', 'yes']",no
678842,A spiral of iridescent spheres surrounding a matte black obelisk.,What is the shape of the central object?,"['cone', 'cube', 'obelisk', 'pyramid']",obelisk
678842,A spiral of iridescent spheres surrounding a matte black obelisk.,What material property do the spheres have?,"['matte', 'opaque', 'reflective', 'iridescent']",iridescent
678842,A spiral of iridescent spheres surrounding a matte black obelisk.,Is the obelisk glossy?,"['no', 'yes']",no
678842,A spiral of iridescent spheres surrounding a matte black obelisk.,What shape are the objects surrounding the obelisk?,"['cubes', 'cylinders', 'spheres', 'cones']",spheres
07b31b,Overlapping translucent chartreuse rings on an opaque obsidian background.,What color are the rings?,"['azure', 'chartreuse', 'crimson', 'vermillion']",chartreuse
07b31b,Overlapping translucent chartreuse rings on an opaque obsidian background.,Is the background translucent?,"['no', 'yes']",no
07b31b,Overlapping translucent chartreuse rings on an opaque obsidian background.,What shape are the overlapping objects?,"['squares', 'circles', 'rings', 'triangles']",rings
07b31b,Overlapping translucent chartreuse rings on an opaque obsidian background.,What property describes the rings' transparency?,"['opaque', 'reflective', 'solid', 'translucent']",translucent
66c0e2,A grid of alternating glossy cerulean and rough sienna squares.,What color are some of the squares?,"['amber', 'cerulean', 'khaki', 'magenta']",cerulean
66c0e2,A grid of alternating glossy cerulean and rough sienna squares.,Are all squares the same color?,"['no', 'yes']",no
66c0e2,A grid of alternating glossy cerulean and rough sienna squares.,What is the texture of the sienna squares?,"['glossy', 'smooth', 'rough', 'metallic']",rough
66c0e2,A grid of alternating glossy cerulean and rough sienna squares.,What shape are the elements in the grid?,"['circles', 'hexagons', 'squares', 'triangles']",squares
f81d3c,Stacked polygonal prisms shifting subtly in hue from violet to indigo.,What type of geometric solid is depicted?,"['spheres', 'cones', 'cylinders', 'prisms']",prisms
f81d3c,Stacked polygonal prisms shifting subtly in hue from violet to indigo.,What color is mentioned as part of the hue shift?,"['cyan', 'maroon', 'ochre', 'violet']",violet
f81d3c,Stacked polygonal prisms shifting subtly in hue from violet to indigo.,Do the prisms change color?,"['no', 'yes']",yes
f81d3c,Stacked polygonal prisms shifting subtly in hue from violet to indigo.,Are the prisms circular?,"['no', 'yes']",no
03cece,A single metallic viridian Mobius strip twisted around itself.,What shape is depicted?,"['cube', 'sphere', 'Mobius strip', 'torus']",Mobius strip
03cece,A single metallic viridian Mobius strip twisted around itself.,What material property does the shape have?,"['fuzzy', 'glossy', 'metallic', 'rough']",metallic
03cece,A single metallic viridian Mobius strip twisted around itself.,Is the color of the object viridian?,"['no', 'yes']",yes
03cece,A single metallic viridian Mobius strip twisted around itself.,Is the shape described as being twisted?,"['no', 'yes']",yes
2d82ec,Scattered ochre tessellations interlocking on a dark grey plane.,What color are the tessellations?,"['indigo', 'ochre', 'teal', 'ultramarine']",ochre
2d82ec,Scattered ochre tessellations interlocking on a dark grey plane.,What word describes the arrangement of the tessellations?,"['scattered', 'stacked', 'spiraling', 'interwoven']",scattered
2d82ec,Scattered ochre tessellations interlocking on a dark grey plane.,Do the tessellations interlock?,"['no', 'yes']",yes
2d82ec,Scattered ochre tessellations interlocking on a dark grey plane.,What color is the background plane?,"['dark grey', 'light grey', 'bright red', 'dark blue']",dark grey
8ba1ed,"A constellation of tiny, flickering amber points against a deep cyan void.",What color are the flickering points?,"['amber', 'cerulean', 'lime-green', 'magenta']",amber
8ba1ed,"A constellation of tiny, flickering amber points against a deep cyan void.",What is the color of the background?,"['deep cyan', 'dark grey', 'obsidian', 'black']",deep cyan
8ba1ed,"A constellation of tiny, flickering amber points against a deep cyan void.",What word describes the collection of points?,"['cluster', 'grid', 'constellation', 'stack']",constellation
8ba1ed,"A constellation of tiny, flickering amber points against a deep cyan void.",Are the points described as large?,"['no', 'yes']",no
801213,Interwoven strands of bright vermillion and deep ultramarine forming a complex knot.,What colors are the strands?,"['amber and cyan', 'chartreuse and violet', 'vermillion and ultramarine', 'sienna and cerulean']",vermillion and ultramarine
801213,Interwoven strands of bright vermillion and deep ultramarine forming a complex knot.,What structure do the strands form?,"['a knot', 'a spiral', 'a grid', 'a stack']",a knot
801213,Interwoven strands of bright vermillion and deep ultramarine forming a complex knot.,Is the knot described as simple?,"['no', 'yes']",no
801213,Interwoven strands of bright vermillion and deep ultramarine forming a complex knot.,Are the strands interwoven?,"['no', 'yes']",yes
