description_1,description_2,similarity_score
a yellow sun in a clear blue sky,a yellow sun in a blue sky,0.97051823
a yellow sun in a clear blue sky,a yellow sun in a cloudy sky,0.9164798
a small green frog on a lily pad,a green frog on a lily pad,0.9699701
a fluffy white cloud in a pink sky,A white fluffy cloud in a gradient sky (from light blue to pink).,0.91423196
a fluffy white cloud in a pink sky,a white cloud in a pink sky,0.9523368
a fluffy white cloud in a pink sky,A fluffy white cloud in a pink sky.,0.9930879
a brown wooden chair with a blue cushion,a brown wooden chair with a green cushion,0.91730213
a brown wooden chair with a blue cushion,a wooden chair with a blue cushion,0.9421001
a brown wooden chair with a blue cushion,a brown wooden chair with a gray cushion,0.92323923
a brown wooden chair with a blue cushion,a wooden chair with a brown cushion,0.94288814
a brown wooden chair with a blue cushion,brown wooden chair with a blue cushion,0.98821557
a black cat sitting on a red rug,A black cat sitting on a red rug,1.0
a black cat sitting on a red rug,a black cat on a red rug,0.9465879
a black cat sitting on a red rug,a black cat sitting on a white rug,0.9097853
a tall green tree with brown branches,a tall green tree with brown roots,0.91003144
a tall green tree with brown branches,A tall green tree with a brown trunk,0.9174551
a tall green tree with brown branches,a tall green tree with brown trunk,0.9160361
a tall green tree with brown branches,a tall brown tree with green leaves,0.92816806
a tall green tree with brown branches,a green tree with brown branches,0.92086416
a purple balloon floating in the sky,a purple balloon in a blue sky,0.90886056
a yellow duck floating in a blue pond,a yellow duck in a pond,0.93539727
a stack of three red books,"A stack of three books: red, blue, and green from top to bottom",0.9007757
a stack of three red books,a stack of red books,0.9334619
a green apple on a wooden table,A brown wooden table with a single green apple on it,0.919808
a green apple on a wooden table,a wooden table with a single green apple,0.94879484
a green apple on a wooden table,a green apple on a brown table,0.9340788
a green apple on a wooden table,A green apple on a white table,0.9361526
a white fluffy cloud in a clear blue sky,A fluffy white cloud in a bright blue sky,0.97849274
a white fluffy cloud in a clear blue sky,a white cloud in a blue sky,0.92069197
a white fluffy cloud in a clear blue sky,a white cloud in a light blue sky,0.92511034
a white fluffy cloud in a clear blue sky,A white cloud against a clear blue sky,0.9012779
a white fluffy cloud in a clear blue sky,white fluffy clouds in a light blue sky,0.93659115
a white fluffy cloud in a clear blue sky,A white cloud in a clear blue sky,0.93680024
a white fluffy cloud in a clear blue sky,a white cloud in a clear blue sky,0.93680024
a white fluffy cloud in a clear blue sky,white fluffy clouds in a blue sky,0.9413411
a white fluffy cloud in a clear blue sky,a clear blue sky with fluffy white clouds,0.93141425
a white fluffy cloud in a clear blue sky,a large white cloud in a clear blue sky,0.91201913
a white fluffy cloud in a clear blue sky,A single white cloud in a bright blue sky,0.90191054
a white fluffy cloud in a clear blue sky,A white cloud in a light blue sky,0.92511046
a white fluffy cloud in a clear blue sky,a blue sky with fluffy white clouds,0.9344425
a white fluffy cloud in a clear blue sky,a fluffy white cloud in a blue sky,0.98268604
a white fluffy cloud in a clear blue sky,white fluffy clouds in a clear blue sky,0.9530755
a white fluffy cloud in a clear blue sky,A white cloud in a light blue sky.,0.9313849
a white fluffy cloud in a clear blue sky,a white fluffy cloud in a blue sky,0.9849463
a white fluffy cloud in a clear blue sky,a white cloud in a bright blue sky,0.92444503
a white fluffy cloud in a clear blue sky,a fluffy white cloud against a blue sky,0.94783425
a white fluffy cloud in a clear blue sky,a white cloud on a light blue sky,0.92300653
a white fluffy cloud in a clear blue sky,a simple white cloud in a blue sky,0.9033674
a white fluffy cloud in a clear blue sky,a single white cloud in a clear blue sky,0.90766144
a purple flower with green leaves,A purple flower with green leaves,1.0000002
a purple flower with green leaves,a purple flower with green stem and leaves,0.93277705
a silver car driving on a gray road,A silver car driving on a gray road,1.0000002
a silver car driving on a gray road,a silver car driving on a grey road,0.9918178
a silver car driving on a gray road,a silver car on a grey road,0.9552921
a silver car driving on a gray road,a silver car on a gray road,0.9645488
a silver car driving on a gray road,silver car on a grey road,0.94884104
a bright red circle on a blue background,a red circle on a blue background,0.9597298
a bright red circle on a blue background,a bright red circle on a dark blue background,0.9838582
a bright red circle on a blue background,A bright red circle on a blue background,1.0000005
a bright red circle on a blue background,A red circle on a blue background.,0.95093405
a bright red circle on a blue background,a vibrant red circle on a simple blue background,0.94080293
a bright red circle on a blue background,a bright red circle on a white background,0.90289676
a bright red circle on a blue background,A red circle on a blue background,0.9597298
a bright red circle on a blue background,a blue circle on a red background,0.9506911
three overlapping green triangles,overlapping green triangles,0.9484907
a stack of purple cubes,a stack of three purple cubes,0.9615636
a stack of purple cubes,A stack of three purple cubes,0.9615636
a stack of purple cubes,stacked purple cubes,0.94583654
a stack of purple cubes,three stacked purple cubes,0.9132941
a stack of purple cubes,A stack of purple cubes,1.0
a winding yellow road through a brown desert,a winding yellow road through a desert,0.9658495
a deep blue wave crashing,blue waves crashing,0.9054041
a grid of small orange squares,a grid of orange squares,0.97621983
a grid of small orange squares,orange squares arranged in a grid,0.91453815
a grid of small orange squares,orange squares in a grid,0.94040585
a pink flower with green leaves,a pink flower with green stem and leaves,0.9285244
a pink flower with green leaves,a single pink flower with green leaves,0.93539417
a pink flower with green leaves,A single pink flower with green leaves,0.93539417
a pink flower with green leaves,A pink flower with green leaves,0.9999999
a rusty bolt,a rusty bolt and nut,0.9253459
a stack of grey cubes,three stacked grey cubes,0.90044594
a vibrant red apple,A vibrant red apple on a white background,0.90378404
a vibrant red apple,a bright red apple,0.93933606
a vibrant red apple,A vibrant red apple on a white background.,0.91176856
a vibrant red apple,A vibrant red apple.,0.9899203
a vibrant red apple,a red apple,0.9073735
silver metallic spheres,a silver and gold metallic sphere,0.90011346
silver metallic spheres,a metallic silver sphere,0.91538507
a deep blue ocean wave,blue ocean waves,0.901086
a deep blue ocean wave,a blue ocean with waves,0.9035671
yellow and black striped socks,green and yellow striped socks,0.9254329
yellow and black striped socks,red and yellow striped socks,0.93312943
yellow and black striped socks,purple and yellow striped socks,0.9220426
yellow and black striped socks,striped black and white socks,0.90130365
yellow and black striped socks,black and white striped socks,0.90230167
yellow and black striped socks,yellow striped socks,0.9569421
yellow and black striped socks,a pair of striped yellow and black socks,0.9309833
a field of golden sunflowers,A field of sunflowers,0.91267735
a field of golden sunflowers,a field of sunflowers,0.91267705
a field of golden sunflowers,a field of golden sunflowers at dawn,0.9139992
pink abstract shapes,pink abstract shapes on a gray background,0.9138377
pink abstract shapes,pink abstract shapes on a white background,0.90038824
pink abstract shapes,abstract pink shapes,0.9859824
a clear glass vase,a clear glass vase with water,0.9517985
a red circle on a blue square,a red square and a blue circle,0.95824385
a red circle on a blue square,a blue circle on a red square background,0.9209087
a red circle on a blue square,a blue square and a red circle,0.9554935
a red circle on a blue square,A large blue circle on a small red square,0.92397964
a red circle on a blue square,a red circle and a blue square,0.9658241
a red circle on a blue square,a red circle within a blue square,0.96789163
a red circle on a blue square,a red square with a blue circle inside,0.91690874
a red circle on a blue square,a blue circle in a red square,0.9822346
a red circle on a blue square,a red square on a blue circle,0.9887895
a red circle on a blue square,a blue circle on a red square,0.994697
a red circle on a blue square,a red square on a blue circle background,0.92592907
a red circle on a blue square,a red circle on a blue square background,0.93199885
a red circle on a blue square,a blue square on a green circle,0.9061786
a red circle on a blue square,a red circle inside a blue square,0.94548666
three green triangles,three green triangles in a row,0.9158559
three green triangles,Three green triangles in a row,0.91585577
three green triangles,three small green triangles,0.95100695
a yellow star and a purple moon,A yellow star and a purple moon,1.0
a yellow star and a purple moon,a yellow star and a white moon,0.91187936
a yellow star and a purple moon,a yellow star next to a purple moon,0.9461743
a yellow star and a purple moon,a yellow moon and stars,0.9149451
brown and orange stripes,Brown and beige stripes.,0.9103648
brown and orange stripes,orange and pink stripes,0.9221879
brown and orange stripes,Orange and white stripes,0.90979874
brown and orange stripes,Orange and black stripes.,0.9025599
brown and orange stripes,pink and orange stripes,0.900697
brown and orange stripes,orange and black stripes,0.9144443
brown and orange stripes,orange and brown stripes,0.9828495
brown and orange stripes,orange and white stripes,0.90979874
scattered pink dots on a white background,Pink dots scattered on a white background,0.9929935
scattered pink dots on a white background,scattered pink dots on a dark background,0.9529636
overlapping gray circles,overlapping grey circles,0.9857205
overlapping gray circles,overlapping gray and black circles,0.95691967
overlapping gray circles,overlapping gray and white circles,0.9574861
overlapping gray circles,three overlapping gray circles,0.9266076
overlapping gray circles,Two overlapping grey circles,0.9417366
overlapping gray circles,overlapping grey and white circles,0.9472052
overlapping gray circles,overlapping circles in grayscale,0.9561558
a checkered pattern of black and yellow,a checkered pattern of yellow and black,0.9927287
a checkered pattern of black and yellow,black and yellow checkered pattern,0.9417086
a checkered pattern of black and yellow,a yellow and black checked pattern,0.9097266
a single large purple diamond,a single large pink diamond,0.92195725
three green squares in a row,three green squares arranged in a row,0.964623
purple and orange stripes,purple and gold stripes,0.94709235
purple and orange stripes,purple and green stripes,0.96564025
purple and orange stripes,Purple and gold stripes,0.94709235
purple and orange stripes,green and purple stripes,0.9421988
purple and orange stripes,blue and orange stripes,0.92279744
a white triangle inside a black square,A black triangle inside a white square.,0.9844285
two overlapping pink rectangles,Two overlapping pink rectangles,0.9999999
a brown wavy line,a brown wavy line across a white background,0.9014536
a brown wavy line,A brown wavy line,1.0000002
a brown wavy line,a thick brown wavy line,0.9672239
a single large black arrow pointing right,a large black arrow pointing right,0.95474166
a stack of blue and green cubes,a stack of three blue cubes,0.92302394
a stack of blue and green cubes,A stack of blue and yellow cubes,0.9452121
a stack of blue and green cubes,a stack of green and blue cubes,0.99460995
a stack of blue and green cubes,a stack of blue cubes,0.9602833
a stack of blue and green cubes,a stack of green cubes,0.92592824
a stack of blue and green cubes,A stack of colorful cubes.,0.9039527
a stack of blue and green cubes,a stack of green and brown cubes,0.9119235
a stack of blue and green cubes,"a stack of three different colored cubes: red, green, and blue from bottom to top",0.90123844
a stack of blue and green cubes,a stack of green and yellow cubes,0.9138748
a stack of blue and green cubes,a stack of red and blue cubes,0.93372536
a stack of blue and green cubes,A stack of blue cubes.,0.9409137
a stack of blue and green cubes,A stack of blue cubes,0.9602833
a stack of blue and green cubes,a stack of colorful cubes,0.9087198
three orange triangles in a row,three orange triangles,0.9253181
three orange triangles in a row,Three orange triangles in a row,0.9999999
a yellow sun setting behind purple hills,a yellow sun setting behind orange hills,0.9018638
a silver sphere floating in a dark blue void,A silver sphere floating in a blue void,0.98679066
a silver sphere floating in a dark blue void,a silver sphere floating in a blue void,0.98679066
a silver sphere floating in a dark blue void,a silver sphere floating in a void,0.95922637
a grid of small black squares,a grid of black and white squares,0.9107897
a grid of small black squares,a grid of small black squares on gray,0.9160768
A golden sun setting over a calm blue ocean,a golden sun setting over a calm ocean,0.9364817
A golden sun setting over a calm blue ocean,a golden sun setting over a calm blue ocean,1.0
A golden sun setting over a calm blue ocean,A golden sun setting over a calm blue sea,0.9582349
A stack of five colorful books,a stack of colorful books,0.9056028
A stack of five colorful books,A stack of colorful books,0.9056026
A stack of five colorful books,"a stack of five colorful books: red, blue, green, yellow, and purple",0.933354
A stack of five colorful books,a stack of five colorful books,1.0000002
A stack of five colorful books,"a stack of five books, each a different color: red, blue, green, yellow, purple",0.9147338
A winding green river through a brown landscape,A winding brown river through a green landscape,0.9915606
A winding green river through a brown landscape,A winding brown river through a green valley,0.9061116
A winding green river through a brown landscape,a winding river flowing through a brown landscape,0.93433994
A winding green river through a brown landscape,a winding river through a green landscape,0.91165805
A silver car driving on a black road,a silver car driving on a black road,1.0000002
A silver car driving on a black road,a silver car on a black road,0.9640477
an orange line zig-zagging,A zig-zag line in orange.,0.93718886
a silver ring with a ruby gem,a silver ring with a small gold gem,0.9014367
a silver ring with a ruby gem,a silver ring with a blue gem,0.90709317
a silver ring with a ruby gem,a silver ring with an emerald gem,0.9117861
a silver ring with a ruby gem,a silver ring with a green gem,0.9063785
a silver ring with a ruby gem,A silver ring with a large ruby gem.,0.95208853
a silver ring with a ruby gem,A silver ring with a green gem,0.9063786
a silver ring with a ruby gem,a silver ring with a red gem,0.91102767
a silver ring with a ruby gem,a silver ring with a black gem,0.91611683
two overlapping pink squares,overlapping pink squares,0.96464586
two overlapping pink squares,overlapping pink and orange squares,0.9193043
a tall gray cylinder,a towering grey cylinder,0.9321712
a bright yellow circle on a dark blue background,A bright yellow circle on a deep blue background,0.9736992
a bright yellow circle on a dark blue background,a bright yellow circle on a blue background,0.98783195
a bright yellow circle on a dark blue background,a blue circle on a yellow background,0.9351875
a bright yellow circle on a dark blue background,a bright yellow circle on a blue square background,0.90206075
a bright yellow circle on a dark blue background,a bright yellow circle on a black background,0.93815786
a bright yellow circle on a dark blue background,A blue circle on a yellow background.,0.9272194
overlapping red and green squares,overlapping blue and green squares,0.90282947
a grid of small orange triangles,orange triangles arranged in a grid,0.91610914
a single large black star,a single black star,0.9187713
a single large black star,A large black star.,0.9355227
purple and yellow stripes arranged vertically,Purple and orange stripes arranged vertically,0.96816397
a spiral composed of small black squares,a spiral composed of many tiny black squares,0.9818953
a red apple on a green table,a red apple on a blue table,0.9495254
a red apple on a green table,a red apple on a table,0.9693693
blue spheres floating in a yellow void,a yellow sphere floating in a blue void,0.9031675
blue spheres floating in a yellow void,a blue sphere floating in a yellow void,0.91694564
pink and brown striped wallpaper,Pink and orange striped wallpaper.,0.9142047
a stack of gold coins,a stack of golden coins,0.9278809
a stack of gold coins,a stack of three gold coins,0.91122556
a stack of gold coins,a stack of coins,0.9008827
green triangles arranged in a circle,three green triangles arranged in a circle,0.9404839
a wooden box with a metal latch,a small wooden box with a metal latch,0.9659362
a grid of small purple squares,purple squares in a grid,0.9169642
a grid of small purple squares,purple squares arranged in a grid,0.90080345
a single large red star,A large red star,0.95068944
a single large red star,a single red star,0.91770077
a single large red star,A single red star,0.91770077
wavy orange lines,Orange wavy lines,0.99460405
wavy orange lines,wavy lines in shades of pink and orange,0.9049512
a checkered pattern of black and white diamonds,A checkered pattern of black and white diamonds,1.0000002
a checkered pattern of black and white diamonds,a checkerboard pattern of black and white diamonds,0.92151314
a checkered pattern of black and white diamonds,a checkered pattern of orange and black diamonds,0.918441
a checkered pattern of black and white diamonds,A checkered pattern of black and white diamonds.,0.98266995
overlapping blue and green circles,red and blue overlapping circles,0.91859066
overlapping blue and green circles,overlapping green and yellow circles,0.90960383
overlapping blue and green circles,overlapping blue and purple circles,0.9252836
overlapping blue and green circles,overlapping blue circles,0.9610888
overlapping blue and green circles,blue and yellow circles overlapping,0.9206382
overlapping blue and green circles,blue and yellow overlapping circles,0.9328156
a spiral of small pink dots,Pink dots forming a spiral.,0.9456308
a spiral of small pink dots,a spiral made of small pink dots,0.96473366
a single brown rectangle,A single large brown rectangle.,0.9389554
a single brown rectangle,a single large brown rectangle,0.955531
a blue square and a yellow circle,a yellow square and a green circle,0.9114243
a blue square and a yellow circle,a blue square inside a yellow circle,0.9284511
a blue square and a yellow circle,a yellow circle on a blue square,0.95767474
a blue square and a yellow circle,a blue square with a yellow circle inside,0.91518426
a blue square and a yellow circle,a blue circle inside a yellow square,0.9223558
a silver car on a road,a silver car on a winding road,0.9198578
a lush green meadow with scattered wildflowers,a green meadow with wildflowers,0.95345294
a lush green meadow with scattered wildflowers,a sunny meadow with wildflowers,0.9051877
a lush green meadow with scattered wildflowers,a lush green meadow with wildflowers,0.98098534
a stack of vibrant orange and purple books,a stack of purple and orange books,0.9631456
a stack of vibrant orange and purple books,a stack of orange books,0.91385996
a single pink flower with large petals,a single pink flower,0.9099877
a silver star in a black sky,a silver star on a dark blue sky,0.91663605
abstract pink and orange swirls,abstract blue and orange swirls,0.9019084
abstract pink and orange swirls,orange and brown abstract swirls,0.9205674
a desert landscape at sunrise with orange hues,a desert landscape at sunrise,0.90725374
a desert landscape at sunrise with orange hues,a sunrise over the desert with warm orange tones,0.9079765
purple flowers in a white vase,purple flowers in a glass vase,0.9008367
purple flowers in a white vase,Purple and pink flowers in a white vase,0.9550748
purple flowers in a white vase,purple flowers in a blue vase,0.9095409
purple flowers in a white vase,purple flowers in a clear glass vase,0.9057053
a checkered flag with black and white squares,a checkered flag with white and black squares,0.9977864
a checkered flag with black and white squares,a black and white checkered flag,0.91753936
a checkered flag with black and white squares,a checkered flag in black and white,0.9212338
a checkered flag with black and white squares,A checkered flag in black and white.,0.90509945
blue geometric patterns forming a spiral,Blue geometric shapes arranged in a spiral pattern,0.9221248
yellow polka dots on a black background,Yellow polka dots on a black background,1.0
yellow polka dots on a black background,yellow polka dots on a red background,0.9256686
a black leather wallet,A black leather wallet,0.9999999
a black leather wallet,a simple black leather wallet,0.95745504
red curtains in front of a window,red curtains in a window,0.9696892
a red cube on a blue sphere,a red sphere floating in a blue cube,0.9265325
a red cube on a blue sphere,A blue sphere on a red cube,0.98620033
a red cube on a blue sphere,a red sphere on a blue cube,0.99376637
a red cube on a blue sphere,a blue sphere on a red cube,0.98620033
a red cube on a blue sphere,a red sphere sitting on a blue cube,0.94047314
a red cube on a blue sphere,A red sphere on a blue cube.,0.9711611
yellow stars scattered on a black background,Yellow stars scattered on a black sky.,0.9393939
yellow stars scattered on a black background,yellow stars on a black background,0.9445254
yellow stars scattered on a black background,yellow stars scattered across a dark blue background,0.9259043
yellow stars scattered on a black background,yellow stars scattered on a green background,0.9271369
blue triangles arranged in a circle,multiple blue triangles arranged in a circle,0.94148445
a brown spiral pattern,Spiral pattern in shades of brown,0.92379403
crimson zig-zag lines,crimson and black zig-zag lines,0.94834876
three overlapping pink circles,overlapping pink circles,0.934981
three overlapping pink circles,three overlapping pink circles on a gray background,0.9304078
a silver car parked on a black road,a silver car parked on a street,0.9085672
a silver car parked on a black road,a silver car parked on an asphalt road,0.9018222
a silver car parked on a black road,A silver car parked on a gray road,0.90560323
a silver car parked on a black road,a silver car parked on a gray road,0.90560335
an orange sun setting behind purple mountains,An orange sun setting over mountains,0.9027359
an orange sun setting behind purple mountains,an orange sun setting behind mountains,0.9339169
an orange sun setting behind purple mountains,an orange sun setting over purple mountains,0.96987146
an orange sun setting behind purple mountains,an orange sun setting over mountains,0.9027359
a blue bird sitting on a brown branch,a blue bird sitting on a branch,0.9648904
a blue bird sitting on a brown branch,a blue bird on a branch,0.9011721
a blue bird sitting on a brown branch,A blue bird on a branch,0.9011721
green leaves on a white background,Green leaves on a white background.,0.9674961
a black cat with yellow eyes,a black cat with bright yellow eyes,0.9840672
a bright yellow sun with rays,A bright yellow sun.,0.92352736
a bright yellow sun with rays,a bright yellow sun,0.9386768
a bright yellow sun with rays,a bright yellow sun with orange rays,0.95476687
blue waves on a sandy beach,light blue waves on a sandy beach,0.9840827
blue waves on a sandy beach,Blue waves crashing on a sandy beach,0.9033036
blue waves on a sandy beach,blue waves on a sandy beach at sunset,0.94054145
blue waves on a sandy beach,a blue wave breaking on a sandy beach,0.9247333
blue waves on a sandy beach,Blue waves on a sandy beach,0.99999976
blue waves on a sandy beach,blue waves on a white sand beach,0.9374393
a red apple on a white background,a single red apple on a white background,0.96822953
a red apple on a white background,A single red apple on a white background,0.96822953
purple circles arranged in a grid,Purple circles arranged in a grid.,0.9639285
a brown wooden chair,a simple brown wooden chair,0.9577211
a brown wooden chair,A simple brown wooden chair,0.9577211
a brown wooden chair,A brown wooden chair,1.0
a brown wooden chair,a single brown wooden chair,0.9489813
a brown wooden chair,A brown wooden chair.,0.9924865
a brown wooden chair,A brown wooden chair with a woven seat.,0.90536165
a brown wooden chair,a brown wooden chair outline,0.90097487
a brown wooden chair,brown wooden chair with a woven seat,0.903917
a black cat silhouetted against an orange moon,a black cat silhouette against a full moon,0.91449916
a black cat silhouetted against an orange moon,a black cat silhouette against a yellow moon,0.9306677
a black cat silhouetted against an orange moon,A black cat silhouette against a full moon,0.91449916
a black cat silhouetted against an orange moon,a black cat silhouetted against a full moon,0.92376274
a silver key on a red cushion,a silver key on a red velvet cushion,0.9395412
a shiny silver robot with red eyes,a silver robot with red eyes,0.9578575
a green spiral staircase,A green spiral staircase,1.0000002
a green spiral staircase,An emerald green spiral staircase,0.92981017
a green spiral staircase,a spiral staircase,0.90457344
a stack of blue books on a brown table,A stack of brown books on a wooden table,0.90155184
three pink flowers in a white vase,Pink flowers in a white vase,0.9048126
three pink flowers in a white vase,pink flowers in a white vase,0.9048126
a field of yellow sunflowers under a bright sun,a field of sunflowers under a bright sun,0.91464186
a field of yellow sunflowers under a bright sun,a field of yellow sunflowers under a clear sky,0.9520105
a field of yellow sunflowers under a bright sun,a field of yellow sunflowers under a blue sky,0.93476725
a field of yellow sunflowers under a bright sun,yellow sunflowers in a field,0.93338877
a field of yellow sunflowers under a bright sun,a field of yellow sunflowers,0.9440589
a field of yellow sunflowers under a bright sun,a field of yellow sunflowers under the sun,0.98413897
a red brick wall with a green vine,a red brick wall with vines,0.94011307
a single black umbrella,a black umbrella,0.9246341
an orange cat sitting on a blue rug,an orange tabby cat sitting on a blue rug,0.9485754
a silver cube on a golden sphere,a golden sphere resting on a silver cube,0.945648
a silver cube on a golden sphere,A silver sphere resting on a gold cube,0.9092623
an orange crescent moon in a dark blue sky,an orange crescent moon in a purple sky,0.93644536
an orange crescent moon in a dark blue sky,An orange crescent moon in a dark blue sky.,0.9869119
an orange crescent moon in a dark blue sky,a silver crescent moon in a dark blue sky,0.90778315
an orange crescent moon in a dark blue sky,an orange crescent moon,0.9387182
a yellow star on a purple background,yellow stars on a purple background,0.9301438
a yellow star on a purple background,A yellow star with purple outline,0.91092247
a yellow star on a purple background,a bright yellow star on a dark purple background,0.97816014
a yellow star on a purple background,a yellow star on a blue background,0.9147936
a yellow star on a purple background,a single yellow star on a purple background,0.97450423
a simple red house with a grey roof,A simple red house with a gray roof.,0.97884905
a simple red house with a grey roof,A simple gray house with a red roof,0.9727719
concentric blue and green squares,concentric red and blue squares,0.92145836
concentric blue and green squares,concentric blue squares,0.9518347
a simple green triangle on a white background,a green triangle pattern on a white background,0.90646505
a simple green triangle on a white background,a green triangle on a white background,0.9779522
a brown tree with green leaves,a green tree with a brown trunk,0.90151244
a brown tree with green leaves,a simple brown tree with green leaves,0.92405546
a brown tree with green leaves,a brown tree trunk with green leaves,0.9059733
A deep blue ocean under a starry night sky,a dark blue ocean under a starry sky,0.9707602
A silver spaceship flying through a purple nebula,a silver spaceship flying through a purple nebula,1.0
A silver spaceship flying through a purple nebula,a silver spaceship flying through a starry purple nebula,0.9745644
A single red rose with green leaves,a single red rose with green leaves,1.0
A single red rose with green leaves,a deep red rose with green leaves,0.9017204
"A group of abstract shapes in primary colors (red, blue, yellow)","Abstract shapes in primary colors (red, blue, yellow)",0.9420912
A winding path through a dark forest,a winding path through a dark forest,1.0000001
A checkerboard pattern with black and white squares,a black and white checkerboard pattern,0.92661667
A checkerboard pattern with black and white squares,a checkerboard pattern with green and orange squares,0.9155513
A checkerboard pattern with black and white squares,a checkerboard pattern using black and grey squares,0.9496375
A checkerboard pattern with black and white squares,a checkerboard pattern with black and white squares,0.9999999
A checkerboard pattern with black and white squares,A checkerboard pattern of white and gray squares.,0.9261357
A checkerboard pattern with black and white squares,a checkerboard pattern of black and white squares,0.9844547
A checkerboard pattern with black and white squares,a checkerboard pattern of orange and black squares,0.9171387
A checkerboard pattern with black and white squares,a checkerboard pattern with light gray and dark gray squares,0.9265957
A checkerboard pattern with black and white squares,a checkerboard pattern in black and white,0.93793344
A checkerboard pattern with black and white squares,A checkerboard pattern with white and red squares.,0.9246968
A checkerboard pattern with black and white squares,a checkerboard pattern of black and red squares,0.9303099
A checkerboard pattern with black and white squares,a checkerboard of black and white squares,0.9182185
A bright yellow sun setting over a calm blue ocean,a bright yellow sun over a blue ocean,0.9513574
A bright yellow sun setting over a calm blue ocean,a bright yellow sun over a calm blue ocean,0.9737522
A bright yellow sun setting over a calm blue ocean,a bright yellow sun setting over a calm blue ocean,1.0
A bright yellow sun setting over a calm blue ocean,A yellow sun setting over a calm orange ocean,0.9360113
A bright yellow sun setting over a calm blue ocean,A bright yellow sun setting over a calm blue ocean.,0.99134827
A bright yellow sun setting over a calm blue ocean,A bright yellow sun shining on a blue ocean,0.90551305
A bright yellow sun setting over a calm blue ocean,a bright orange sun setting over a calm blue ocean,0.910384
A collection of blue stars scattered across a black background,scattered blue stars on a black background,0.9306351
green leaves on a brown branch,Green leaves on a brown branch.,0.97045016
