id,description,question,choices,answer
dff885,a single obsidian sphere,Are there multiple spheres?,"['no', 'yes']",no
dff885,a single obsidian sphere,Is the sphere made of wood?,"['no', 'yes']",no
4317b0,teal and orange concentric circles,What shape is depicted?,"['circles', 'squares', 'stars', 'triangles']",circles
4317b0,teal and orange concentric circles,Are the circles touching at a single point?,"['no', 'yes']",no
4317b0,teal and orange concentric circles,What colors are the circles?,"['black and white', 'blue and red', 'green and yellow', 'teal and orange']",teal and orange
4317b0,teal and orange concentric circles,Are the circles concentric?,"['no', 'yes']",yes
d28a01,a winding silver path through a dark forest,What color is the path?,"['golden', 'red', 'silver', 'white']",silver
d28a01,a winding silver path through a dark forest,What kind of path is it?,"['straight', 'winding']",winding
d28a01,a winding silver path through a dark forest,Is the forest bright?,"['no', 'yes']",no
d28a01,a winding silver path through a dark forest,What is the setting?,"['desert', 'forest', 'mountain', 'ocean']",forest
37552f,magenta hexagons forming a honeycomb pattern,What shape are the forms?,"['circles', 'hexagons', 'squares', 'triangles']",hexagons
37552f,magenta hexagons forming a honeycomb pattern,What color are the hexagons?,"['blue', 'green', 'magenta', 'yellow']",magenta
37552f,magenta hexagons forming a honeycomb pattern,Do the hexagons form a random arrangement?,"['no', 'yes']",no
37552f,magenta hexagons forming a honeycomb pattern,Is a honeycomb pattern present?,"['no', 'yes']",yes
7616a4,a collection of scattered ruby shards,What color are the shards?,"['blue', 'green', 'ruby', 'yellow']",ruby
7616a4,a collection of scattered ruby shards,Are the shards neatly arranged?,"['no', 'yes']",no
7616a4,a collection of scattered ruby shards,What are the objects depicted?,"['gems', 'rocks', 'shards', 'stones']",shards
7616a4,a collection of scattered ruby shards,Are the shards sapphire?,"['no', 'yes']",no
029949,a bright pink flamingo standing in shallow blue water,What color is the flamingo?,"['blue', 'green', 'pink', 'red']",pink
029949,a bright pink flamingo standing in shallow blue water,Is the water blue?,"['no', 'yes']",yes
029949,a bright pink flamingo standing in shallow blue water,Is the flamingo sitting?,"['no', 'yes']",no
029949,a bright pink flamingo standing in shallow blue water,What animal is depicted?,"['duck', 'flamingo', 'swan', 'goose']",flamingo
78e49d,"a stack of five colorful circles: red, orange, yellow, green, and blue",How many circles are stacked?,"['three', 'four', 'five', 'six']",five
78e49d,"a stack of five colorful circles: red, orange, yellow, green, and blue",Is there a blue circle in the stack?,"['no', 'yes']",yes
78e49d,"a stack of five colorful circles: red, orange, yellow, green, and blue",Are the circles squares?,"['no', 'yes']",no
78e49d,"a stack of five colorful circles: red, orange, yellow, green, and blue",What are the shapes in the image?,"['circles', 'squares', 'triangles', 'rectangles']",circles
9830c6,a silver robot with glowing green eyes,What color are the robot's eyes?,"['blue', 'green', 'red', 'yellow']",green
9830c6,a silver robot with glowing green eyes,Is the robot gold?,"['no', 'yes']",no
9830c6,a silver robot with glowing green eyes,Does the robot have glowing eyes?,"['no', 'yes']",yes
9830c6,a silver robot with glowing green eyes,What is depicted in the image?,"['a car', 'a robot', 'a house', 'a tree']",robot
0cd50d,a wooden table with a single red apple on it,What material is the table made of?,"['glass', 'metal', 'plastic', 'wooden']",wooden
0cd50d,a wooden table with a single red apple on it,How many apples are on the table?,"['one', 'two', 'three', 'four']",one
0cd50d,a wooden table with a single red apple on it,Is the apple green?,"['no', 'yes']",no
0cd50d,a wooden table with a single red apple on it,What color is the apple?,"['blue', 'green', 'red', 'yellow']",red
605b55,a field of tall golden wheat under a sunny sky,What color is the wheat?,"['brown', 'golden', 'green', 'yellow']",golden
605b55,a field of tall golden wheat under a sunny sky,Is the sky cloudy?,"['no', 'yes']",no
605b55,a field of tall golden wheat under a sunny sky,Is there wheat in the image?,"['no', 'yes']",yes
605b55,a field of tall golden wheat under a sunny sky,What is growing in the field?,"['flowers', 'grass', 'trees', 'wheat']",wheat
6b30b9,a thick blue wool sweater,What material is the sweater made of?,"['cotton', 'leather', 'silk', 'wool']",wool
6b30b9,a thick blue wool sweater,Is the sweater thin?,"['no', 'yes']",no
6b30b9,a thick blue wool sweater,Is the sweater red?,"['no', 'yes']",no
6b30b9,a thick blue wool sweater,What color is the sweater?,"['blue', 'green', 'red', 'yellow']",blue
e87e2b,a black cat sitting on a white fence,What color is the cat?,"['black', 'orange', 'white', 'brown']",black
e87e2b,a black cat sitting on a white fence,Is the cat green?,"['no', 'yes']",no
e87e2b,a black cat sitting on a white fence,What is the cat sitting on?,"['a chair', 'a fence', 'the ground', 'a wall']",fence
e87e2b,a black cat sitting on a white fence,Is the fence white?,"['no', 'yes']",yes
b2ec87,a large purple butterfly with detailed wings,What kind of insect is shown?,"['bee', 'butterfly', 'dragonfly', 'moth']",butterfly
b2ec87,a large purple butterfly with detailed wings,Is the butterfly small?,"['no', 'yes']",no
b2ec87,a large purple butterfly with detailed wings,Are the wings plain?,"['no', 'yes']",no
b2ec87,a large purple butterfly with detailed wings,What color is the butterfly?,"['blue', 'green', 'purple', 'red']",purple
627102,a brown leather wallet,What material is the wallet made of?,"['cloth', 'leather', 'plastic', 'rubber']",leather
627102,a brown leather wallet,Is the wallet red?,"['no', 'yes']",no
627102,a brown leather wallet,Is there a wallet in the image?,"['no', 'yes']",yes
627102,a brown leather wallet,What color is the wallet?,"['black', 'blue', 'brown', 'green']",brown
f72470,geometric shapes: three yellow triangles and two red squares,How many different shapes are there?,"['one', 'two', 'three', 'four']",two
f72470,geometric shapes: three yellow triangles and two red squares,Are there any circles?,"['no', 'yes']",no
f72470,geometric shapes: three yellow triangles and two red squares,How many red squares are there?,"['one', 'two', 'three', 'four']",two
f72470,geometric shapes: three yellow triangles and two red squares,What color are the triangles?,"['blue', 'green', 'red', 'yellow']",yellow
602a39,a bright red apple on a wooden table,What color is the apple?,"['blue', 'green', 'red', 'yellow']",red
602a39,a bright red apple on a wooden table,What is the apple on?,"['floor', 'table', 'tree', 'water']",table
602a39,a bright red apple on a wooden table,Is the apple green?,"['no', 'yes']",no
602a39,a bright red apple on a wooden table,What fruit is depicted?,"['apple', 'banana', 'orange', 'grape']",apple
0a0946,a blue ceramic vase with white flowers,What color is the vase?,"['blue', 'green', 'red', 'yellow']",blue
0a0946,a blue ceramic vase with white flowers,What material is the vase made of?,"['ceramic', 'glass', 'metal', 'plastic']",ceramic
0a0946,a blue ceramic vase with white flowers,What color are the flowers?,"['blue', 'red', 'white', 'yellow']",white
0a0946,a blue ceramic vase with white flowers,Are there any flowers in the vase?,"['no', 'yes']",yes
f2d9c9,a yellow sun in a clear blue sky,What color is the sky?,"['blue', 'gray', 'orange', 'white']",blue
f2d9c9,a yellow sun in a clear blue sky,What celestial body is visible?,"['moon', 'planet', 'star', 'sun']",sun
f2d9c9,a yellow sun in a clear blue sky,Is the sky clear?,"['no', 'yes']",yes
f2d9c9,a yellow sun in a clear blue sky,What color is the sun depicted?,"['blue', 'red', 'white', 'yellow']",yellow
bea54f,a small green frog on a lily pad,What animal is shown?,"['bird', 'fish', 'frog', 'snake']",frog
bea54f,a small green frog on a lily pad,What color is the frog?,"['blue', 'green', 'red', 'yellow']",green
bea54f,a small green frog on a lily pad,Where is the frog sitting?,"['flower', 'leaf', 'lily pad', 'rock']",lily pad
bea54f,a small green frog on a lily pad,Is the lily pad red?,"['no', 'yes']",no
188553,a fluffy white cloud in a pink sky,What color is the cloud?,"['gray', 'pink', 'white', 'yellow']",white
188553,a fluffy white cloud in a pink sky,What color is the sky?,"['blue', 'green', 'pink', 'white']",pink
188553,a fluffy white cloud in a pink sky,Is the cloud fluffy?,"['no', 'yes']",yes
188553,a fluffy white cloud in a pink sky,Is the sky blue?,"['no', 'yes']",no
36c01a,a brown wooden chair with a blue cushion,What furniture item is depicted?,"['bed', 'chair', 'table', 'sofa']",chair
36c01a,a brown wooden chair with a blue cushion,What material is the chair made of?,"['metal', 'plastic', 'wood', 'stone']",wood
36c01a,a brown wooden chair with a blue cushion,What color is the cushion?,"['blue', 'green', 'red', 'yellow']",blue
36c01a,a brown wooden chair with a blue cushion,Does the chair have a cushion?,"['no', 'yes']",yes
3529ec,a black cat sitting on a red rug,What animal is in the image?,"['cat', 'dog', 'mouse', 'bird']",cat
3529ec,a black cat sitting on a red rug,What color is the cat?,"['black', 'white', 'orange', 'gray']",black
3529ec,a black cat sitting on a red rug,What color is the rug?,"['blue', 'green', 'red', 'yellow']",red
3529ec,a black cat sitting on a red rug,Where is the cat sitting?,"['bed', 'chair', 'floor', 'rug']",rug
be2cc9,a tall green tree with brown branches,What is the main subject?,"['flower', 'mountain', 'river', 'tree']",tree
be2cc9,a tall green tree with brown branches,What color are the leaves/foliage?,"['brown', 'green', 'red', 'yellow']",green
be2cc9,a tall green tree with brown branches,What color are the branches?,"['black', 'brown', 'gray', 'white']",brown
be2cc9,a tall green tree with brown branches,Is the tree short?,"['no', 'yes']",no
e466f4,a white boat floating on blue water,What is the color of the boat?,"['black', 'red', 'white', 'yellow']",white
e466f4,a white boat floating on blue water,What is the boat floating on?,"['ground', 'sand', 'water', 'air']",water
e466f4,a white boat floating on blue water,What color is the water?,"['blue', 'green', 'red', 'brown']",blue
e466f4,a white boat floating on blue water,Is the boat sinking?,"['no', 'yes']",no
960c96,a purple balloon floating in the sky,What is the object?,"['ball', 'balloon', 'bird', 'kite']",balloon
960c96,a purple balloon floating in the sky,What color is the object?,"['blue', 'green', 'purple', 'red']",purple
960c96,a purple balloon floating in the sky,Where is the object?,"['floor', 'ground', 'hand', 'sky']",sky
960c96,a purple balloon floating in the sky,Is the balloon red?,"['no', 'yes']",no
1b4417,a yellow duck floating in a blue pond,What color is the duck?,"['blue', 'green', 'red', 'yellow']",yellow
1b4417,a yellow duck floating in a blue pond,What body of water is depicted?,"['lake', 'ocean', 'pond', 'river']",pond
1b4417,a yellow duck floating in a blue pond,Is the duck red?,"['no', 'yes']",no
1b4417,a yellow duck floating in a blue pond,Is there anything blue in the image?,"['no', 'yes']",yes
499ef9,a stack of three red books,How many books are in the stack?,"['one', 'two', 'three', 'four']",three
499ef9,a stack of three red books,What color are the books?,"['blue', 'green', 'red', 'yellow']",red
499ef9,a stack of three red books,Are the books blue?,"['no', 'yes']",no
499ef9,a stack of three red books,What objects are stacked?,"['boxes', 'books', 'dishes', 'toys']",books
2e2df3,a green apple on a wooden table,What color is the apple?,"['blue', 'green', 'red', 'yellow']",green
2e2df3,a green apple on a wooden table,What object is on the table?,"['a book', 'an apple', 'a key', 'a phone']",an apple
2e2df3,a green apple on a wooden table,What is the table made of?,"['glass', 'metal', 'plastic', 'wood']",wood
2e2df3,a green apple on a wooden table,Is the apple blue?,"['no', 'yes']",no
0b2179,a white fluffy cloud in a clear blue sky,What color is the cloud?,"['blue', 'gray', 'white', 'yellow']",white
0b2179,a white fluffy cloud in a clear blue sky,Is the sky cloudy?,"['no', 'yes']",no
0b2179,a white fluffy cloud in a clear blue sky,What is in the blue sky?,"['a building', 'a car', 'a cloud', 'a tree']",a cloud
0b2179,a white fluffy cloud in a clear blue sky,What color is the sky?,"['blue', 'gray', 'green', 'red']",blue
14ef69,a purple flower with green leaves,What color are the leaves?,"['blue', 'green', 'purple', 'red']",green
14ef69,a purple flower with green leaves,What is the main object depicted?,"['a branch', 'a flower', 'a leaf', 'a stem']",a flower
14ef69,a purple flower with green leaves,Is the flower purple?,"['no', 'yes']",yes
14ef69,a purple flower with green leaves,Does the flower have leaves?,"['no', 'yes']",yes
2eac39,an orange sun setting over calm water,What time of day is suggested?,"['dawn', 'dusk', 'midday', 'midnight']",dusk
2eac39,an orange sun setting over calm water,What color is the sun?,"['blue', 'green', 'orange', 'white']",orange
2eac39,an orange sun setting over calm water,Is the water choppy?,"['no', 'yes']",no
2eac39,an orange sun setting over calm water,Is the sun rising?,"['no', 'yes']",no
d76eff,a brown dog sitting on a red rug,What color is the dog?,"['black', 'brown', 'white', 'yellow']",brown
d76eff,a brown dog sitting on a red rug,What is the dog sitting on?,"['a chair', 'a bed', 'a floor', 'a rug']",a rug
d76eff,a brown dog sitting on a red rug,What color is the rug?,"['blue', 'green', 'red', 'white']",red
d76eff,a brown dog sitting on a red rug,Is there a cat in the image?,"['no', 'yes']",no
bb089c,a group of three black birds flying in formation,What color are the birds?,"['blue', 'black', 'white', 'yellow']",black
bb089c,a group of three black birds flying in formation,How many birds are there?,"['two', 'three', 'four', 'five']",three
bb089c,a group of three black birds flying in formation,Are the birds walking?,"['no', 'yes']",no
bb089c,a group of three black birds flying in formation,Are the birds flying in a formation?,"['no', 'yes']",yes
69f8c5,a silver car driving on a gray road,What color is the car?,"['black', 'blue', 'red', 'silver']",silver
69f8c5,a silver car driving on a gray road,What is the car doing?,"['flying', 'driving', 'sailing', 'sitting']",driving
69f8c5,a silver car driving on a gray road,What color is the road?,"['brown', 'gray', 'green', 'yellow']",gray
69f8c5,a silver car driving on a gray road,Is the car blue?,"['no', 'yes']",no
12dbc5,a blue boat sailing on a white sea,What color is the boat?,"['blue', 'green', 'red', 'white']",blue
12dbc5,a blue boat sailing on a white sea,What is the boat doing?,"['flying', 'driving', 'sailing', 'sitting']",sailing
12dbc5,a blue boat sailing on a white sea,What color is the sea?,"['blue', 'green', 'red', 'white']",white
12dbc5,a blue boat sailing on a white sea,Is the sea blue?,"['no', 'yes']",no
a74a55,a bright red circle on a blue background,What shape is prominently featured?,"['square', 'circle', 'triangle', 'rectangle']",circle
a74a55,a bright red circle on a blue background,What color is the background?,"['red', 'green', 'blue', 'yellow']",blue
a74a55,a bright red circle on a blue background,Is the circle green?,"['no', 'yes']",no
a74a55,a bright red circle on a blue background,Are there any triangles in the image?,"['no', 'yes']",no
36a50e,three overlapping green triangles,How many triangles are shown?,"['one', 'two', 'three', 'four']",three
36a50e,three overlapping green triangles,What color are the triangles?,"['blue', 'green', 'red', 'yellow']",green
36a50e,three overlapping green triangles,Are the triangles separate or overlapping?,"['separate', 'overlapping']",overlapping
36a50e,three overlapping green triangles,Is there a circle in the image?,"['no', 'yes']",no
230758,a stack of purple cubes,What shape are the objects?,"['spheres', 'cubes', 'cylinders', 'pyramids']",cubes
230758,a stack of purple cubes,What color are the cubes?,"['blue', 'green', 'purple', 'red']",purple
230758,a stack of purple cubes,Are the cubes stacked?,"['no', 'yes']",yes
230758,a stack of purple cubes,Is there a single cube or multiple?,"['single', 'multiple']",multiple
db49d4,a winding yellow road through a brown desert,What color is the road?,"['brown', 'gray', 'white', 'yellow']",yellow
db49d4,a winding yellow road through a brown desert,What type of landscape is depicted?,"['forest', 'desert', 'ocean', 'mountain']",desert
db49d4,a winding yellow road through a brown desert,Does the road go straight or wind?,"['straight', 'winding']",winding
db49d4,a winding yellow road through a brown desert,Is there a road present?,"['no', 'yes']",yes
f50a22,a shimmering silver star,What shape is depicted?,"['circle', 'square', 'star', 'triangle']",star
f50a22,a shimmering silver star,What color is the star?,"['gold', 'silver', 'bronze', 'copper']",silver
f50a22,a shimmering silver star,Is the star dull or shimmering?,"['dull', 'shimmering']",shimmering
f50a22,a shimmering silver star,Is there a star in the image?,"['no', 'yes']",yes
4a4f60,a deep blue wave crashing,What is the main subject?,"['boat', 'fish', 'wave', 'shell']",wave
4a4f60,a deep blue wave crashing,What color is the wave?,"['green', 'red', 'blue', 'yellow']",blue
4a4f60,a deep blue wave crashing,Is the wave still or crashing?,"['still', 'crashing']",crashing
4a4f60,a deep blue wave crashing,Is there land visible?,"['no', 'yes']",no
8073f6,a grid of small orange squares,What shape forms the grid?,"['circles', 'squares', 'triangles', 'rectangles']",squares
8073f6,a grid of small orange squares,What color are the squares?,"['blue', 'green', 'orange', 'purple']",orange
8073f6,a grid of small orange squares,Is the arrangement random or a grid?,"['random', 'grid']",grid
8073f6,a grid of small orange squares,Are the squares large or small?,"['large', 'small']",small
8757fb,a pink flower with green leaves,What is the main subject?,"['tree', 'flower', 'bush', 'grass']",flower
8757fb,a pink flower with green leaves,What color are the leaves?,"['blue', 'brown', 'green', 'yellow']",green
8757fb,a pink flower with green leaves,What color is the flower?,"['blue', 'pink', 'red', 'white']",pink
8757fb,a pink flower with green leaves,Does the image contain a flower?,"['no', 'yes']",yes
34d223,a dark gray cloud in a light blue sky,What is in the sky?,"['sun', 'moon', 'stars', 'cloud']",cloud
34d223,a dark gray cloud in a light blue sky,What color is the cloud?,"['white', 'gray', 'blue', 'black']",gray
34d223,a dark gray cloud in a light blue sky,What color is the sky?,"['dark blue', 'light blue', 'gray', 'black']",light blue
34d223,a dark gray cloud in a light blue sky,Is the cloud white?,"['no', 'yes']",no
565794,a single brown tree,What is the main subject?,"['flower', 'bush', 'tree', 'grass']",tree
565794,a single brown tree,What color is the tree?,"['green', 'brown', 'black', 'white']",brown
565794,a single brown tree,Are there multiple trees?,"['no', 'yes']",no
565794,a single brown tree,Is the tree blue?,"['no', 'yes']",no
81c0a3,a rusty bolt,What color is the bolt?,"['blue', 'green', 'orange', 'rusty']",rusty
81c0a3,a rusty bolt,Is the bolt made of wood?,"['no', 'yes']",no
81c0a3,a rusty bolt,What object is depicted?,"['bolt', 'nut', 'screw', 'washer']",bolt
81c0a3,a rusty bolt,Is the bolt rusty?,"['no', 'yes']",yes
a73f13,a stack of grey cubes,What shape are the objects?,"['circles', 'cubes', 'pyramids', 'spheres']",cubes
a73f13,a stack of grey cubes,Are the cubes black?,"['no', 'yes']",no
a73f13,a stack of grey cubes,What color are the cubes?,"['blue', 'grey', 'red', 'white']",grey
a73f13,a stack of grey cubes,Are the cubes stacked?,"['no', 'yes']",yes
22d41b,emerald green grass,What color is the grass?,"['blue', 'emerald green', 'red', 'yellow']",emerald green
22d41b,emerald green grass,Is the grass brown?,"['no', 'yes']",no
22d41b,emerald green grass,What is depicted in the image?,"['dirt', 'flowers', 'grass', 'water']",grass
22d41b,emerald green grass,Is the grass green?,"['no', 'yes']",yes
4e1780,a vibrant red apple,What fruit is shown?,"['apple', 'banana', 'orange', 'grape']",apple
4e1780,a vibrant red apple,What color is the apple?,"['blue', 'green', 'red', 'yellow']",red
4e1780,a vibrant red apple,Is the apple blue?,"['no', 'yes']",no
4e1780,a vibrant red apple,Is the apple vibrant?,"['no', 'yes']",yes
ebb013,silver metallic spheres,What shape are the objects?,"['cubes', 'cylinders', 'spheres', 'squares']",spheres
ebb013,silver metallic spheres,What is the color of the spheres?,"['gold', 'bronze', 'silver', 'copper']",silver
ebb013,silver metallic spheres,Are the spheres wooden?,"['no', 'yes']",no
ebb013,silver metallic spheres,Are the spheres metallic?,"['no', 'yes']",yes
46e6dd,a deep blue ocean wave,What body of water is depicted?,"['lake', 'ocean', 'river', 'pond']",ocean
46e6dd,a deep blue ocean wave,What color is the ocean wave?,"['blue', 'green', 'red', 'yellow']",blue
46e6dd,a deep blue ocean wave,Is the wave shallow?,"['no', 'yes']",no
46e6dd,a deep blue ocean wave,Is there a wave in the image?,"['no', 'yes']",yes
499a2c,yellow and black striped socks,What item of clothing is shown?,"['hat', 'scarf', 'shirt', 'socks']",socks
499a2c,yellow and black striped socks,What pattern do the socks have?,"['checked', 'polka dot', 'striped', 'solid']",striped
499a2c,yellow and black striped socks,What colors are the socks?,"['blue and white', 'green and red', 'yellow and black', 'pink and purple']",yellow and black
499a2c,yellow and black striped socks,Are the socks striped?,"['no', 'yes']",yes
d9b03b,a field of golden sunflowers,What flowers are in the field?,"['daisies', 'roses', 'sunflowers', 'tulips']",sunflowers
d9b03b,a field of golden sunflowers,What color are the sunflowers described as?,"['blue', 'golden', 'red', 'white']",golden
d9b03b,a field of golden sunflowers,Is the image a field of grass?,"['no', 'yes']",no
d9b03b,a field of golden sunflowers,Is there a field of sunflowers?,"['no', 'yes']",yes
b58134,pink abstract shapes,What color are the shapes?,"['blue', 'green', 'pink', 'yellow']",pink
b58134,pink abstract shapes,Are the shapes realistic objects?,"['no', 'yes']",no
b58134,pink abstract shapes,What kind of shapes are they?,"['abstract', 'geometric', 'organic', 'realistic']",abstract
b58134,pink abstract shapes,Are the shapes pink?,"['no', 'yes']",yes
a9b705,a clear glass vase,What object is depicted?,"['bottle', 'cup', 'jar', 'vase']",vase
a9b705,a clear glass vase,What material is the vase made of?,"['ceramic', 'glass', 'metal', 'plastic']",glass
a9b705,a clear glass vase,Is the vase opaque?,"['no', 'yes']",no
a9b705,a clear glass vase,Is the vase made of glass?,"['no', 'yes']",yes
91b830,a red circle on a blue square,What shape is red?,"['circle', 'square', 'triangle', 'star']",circle
91b830,a red circle on a blue square,What color is the square?,"['red', 'blue', 'green', 'yellow']",blue
91b830,a red circle on a blue square,Is there a triangle in the image?,"['no', 'yes']",no
91b830,a red circle on a blue square,What is the spatial relationship between the circle and the square?,"['next to', 'under', 'on', 'inside']",on
4ad24a,three green triangles,How many triangles are there?,"['one', 'two', 'three', 'four']",three
4ad24a,three green triangles,What color are the triangles?,"['red', 'blue', 'green', 'yellow']",green
4ad24a,three green triangles,Are there any circles in the image?,"['no', 'yes']",no
4ad24a,three green triangles,What shape is primarily depicted?,"['circle', 'square', 'triangle', 'star']",triangle
4b8585,a yellow star and a purple moon,What color is the star?,"['red', 'blue', 'green', 'yellow']",yellow
4b8585,a yellow star and a purple moon,What celestial body is purple?,"['sun', 'moon', 'star', 'planet']",moon
4b8585,a yellow star and a purple moon,Is there a red object in the image?,"['no', 'yes']",no
4b8585,a yellow star and a purple moon,Are both objects celestial bodies?,"['no', 'yes']",yes
dc1412,brown and orange stripes,Are there stripes in the image?,"['no', 'yes']",yes
dc1412,brown and orange stripes,What colors are the stripes?,"['red and blue', 'green and yellow', 'brown and orange', 'black and white']",brown and orange
dc1412,brown and orange stripes,Is there a solid block of color?,"['no', 'yes']",no
dc1412,brown and orange stripes,What kind of pattern is shown?,"['dots', 'checks', 'stripes', 'waves']",stripes
44600e,"a tall, thin black rectangle",What shape is depicted?,"['circle', 'square', 'triangle', 'rectangle']",rectangle
44600e,"a tall, thin black rectangle",What color is the rectangle?,"['red', 'blue', 'black', 'white']",black
44600e,"a tall, thin black rectangle",Is the rectangle short and wide?,"['no', 'yes']",no
44600e,"a tall, thin black rectangle",Is the rectangle thin?,"['no', 'yes']",yes
136a1d,scattered pink dots on a white background,What color is the background?,"['black', 'white', 'gray', 'transparent']",white
136a1d,scattered pink dots on a white background,What shapes are scattered?,"['squares', 'triangles', 'dots', 'lines']",dots
136a1d,scattered pink dots on a white background,Are the dots blue?,"['no', 'yes']",no
136a1d,scattered pink dots on a white background,Is the pattern scattered?,"['no', 'yes']",yes
820538,a spiral of blue squares,What shape is forming the spiral?,"['circles', 'squares', 'triangles', 'stars']",squares
820538,a spiral of blue squares,What color are the squares?,"['red', 'blue', 'green', 'yellow']",blue
820538,a spiral of blue squares,Is the arrangement a straight line?,"['no', 'yes']",no
820538,a spiral of blue squares,Is there a spiral pattern?,"['no', 'yes']",yes
faff6a,overlapping gray circles,What shape is depicted?,"['circles', 'squares', 'triangles', 'rectangles']",circles
faff6a,overlapping gray circles,What color are the circles?,"['red', 'blue', 'gray', 'black']",gray
faff6a,overlapping gray circles,Are the circles separate?,"['no', 'yes']",no
faff6a,overlapping gray circles,Are the circles overlapping?,"['no', 'yes']",yes
3e07fe,a checkered pattern of black and yellow,What kind of pattern is shown?,"['striped', 'dotted', 'checkered', 'wavy']",checkered
3e07fe,a checkered pattern of black and yellow,What colors are in the pattern?,"['red and blue', 'black and white', 'black and yellow', 'green and orange']",black and yellow
3e07fe,a checkered pattern of black and yellow,Is the pattern solid?,"['no', 'yes']",no
3e07fe,a checkered pattern of black and yellow,Is yellow one of the colors?,"['no', 'yes']",yes
8373af,a single large purple diamond,How many shapes are there?,"['one', 'two', 'three', 'four']",one
8373af,a single large purple diamond,What color is the diamond?,"['red', 'blue', 'purple', 'green']",purple
8373af,a single large purple diamond,What shape is depicted?,"['circle', 'square', 'diamond', 'star']",diamond
8373af,a single large purple diamond,Is the diamond small?,"['no', 'yes']",no
68e070,a red circle on a blue background,What color is the circle?,"['blue', 'green', 'red', 'yellow']",red
68e070,a red circle on a blue background,What shape is the red object?,"['circle', 'square', 'triangle', 'star']",circle
68e070,a red circle on a blue background,Is the background blue?,"['no', 'yes']",yes
68e070,a red circle on a blue background,Are there any squares in the image?,"['no', 'yes']",no
bd4457,three green squares in a row,How many green squares are there?,"['one', 'two', 'three', 'four']",three
bd4457,three green squares in a row,What shape are the green objects?,"['circles', 'squares', 'triangles', 'rectangles']",squares
bd4457,three green squares in a row,What color are the squares?,"['blue', 'green', 'red', 'yellow']",green
bd4457,three green squares in a row,Are the squares arranged in a column?,"['no', 'yes']",no
27fe28,a yellow star with five points,What is the shape of the object?,"['circle', 'square', 'star', 'triangle']",star
27fe28,a yellow star with five points,How many points does the star have?,"['four', 'five', 'six', 'seven']",five
27fe28,a yellow star with five points,What color is the star?,"['blue', 'green', 'red', 'yellow']",yellow
27fe28,a yellow star with five points,Is the star red?,"['no', 'yes']",no
a646ff,purple and orange stripes,What patterns are present?,"['dots', 'stripes', 'checks', 'waves']",stripes
a646ff,purple and orange stripes,What colors are in the image?,"['blue and green', 'purple and orange', 'red and yellow', 'black and white']",purple and orange
a646ff,purple and orange stripes,Is there anything purple in the image?,"['no', 'yes']",yes
a646ff,purple and orange stripes,Are there any solid blocks of color?,"['no', 'yes']",no
b3919a,a white triangle inside a black square,What shape is the outer object?,"['circle', 'square', 'triangle', 'rectangle']",square
b3919a,a white triangle inside a black square,What shape is the inner object?,"['circle', 'square', 'triangle', 'star']",triangle
b3919a,a white triangle inside a black square,What color is the triangle?,"['black', 'blue', 'white', 'red']",white
b3919a,a white triangle inside a black square,Is the square white?,"['no', 'yes']",no
eba335,two overlapping pink rectangles,How many rectangles are there?,"['one', 'two', 'three', 'four']",two
